index,image_id,count_rating_1,count_rating_2,count_rating_3,count_rating_4,count_rating_5,count_rating_6,count_rating_7,count_rating_8,count_rating_9,count_rating_10,tag_1,tag_2,challange_id
1,953619,0,1,5,17,38,36,15,6,5,1,1,22,1396
2,953958,10,7,15,26,26,21,10,8,1,2,1,21,1396
3,954184,0,0,4,8,41,56,10,3,4,0,0,0,1396
4,954113,0,1,4,6,48,37,23,5,2,2,15,21,1396
5,953980,0,3,6,15,57,39,6,1,1,1,22,38,1396
6,954175,0,0,5,13,40,53,14,1,3,1,15,65,1396
7,953349,1,1,1,7,27,46,28,13,4,0,16,21,1396
8,953645,0,0,0,8,33,51,27,3,3,2,0,0,1396
9,953897,0,0,0,5,19,46,29,22,5,2,7,14,1396
10,953841,0,0,3,8,37,44,22,9,4,2,14,53,1396
11,953417,0,0,0,5,32,50,23,10,3,1,22,0,1396
12,953777,0,3,2,3,13,40,35,21,8,3,20,53,1396
13,953756,0,2,3,9,35,50,20,5,2,2,0,0,1396
14,954195,0,1,7,26,56,23,6,1,0,2,0,0,1396
15,953903,0,1,4,5,33,50,17,9,3,2,21,28,1396
16,954222,0,1,2,4,18,41,29,17,10,4,9,24,1396
17,953889,0,1,0,9,20,40,29,14,11,6,0,0,1396
18,953844,0,0,1,6,40,51,20,6,4,0,15,19,1396
19,954104,0,0,2,7,35,47,19,8,5,0,0,0,1396
20,954229,0,0,2,10,50,42,12,4,3,1,0,0,1396
21,953550,0,0,1,3,13,45,36,20,5,7,14,0,1396
22,953726,0,0,3,11,51,41,8,3,1,4,0,0,1396
23,954228,5,9,17,17,43,18,12,1,5,2,0,0,1396
24,953750,0,1,12,34,52,16,7,2,1,0,15,19,1396
25,954181,0,0,0,8,29,43,25,13,7,4,15,57,1396
26,954208,0,1,9,22,31,36,19,7,3,2,10,62,1396
27,953810,0,0,4,15,42,44,12,3,5,3,21,57,1396
28,954187,0,0,3,21,46,38,10,3,1,0,38,0,1396
29,953621,0,1,5,5,39,48,18,7,2,3,7,16,1396
30,953348,0,0,9,16,62,23,10,2,0,1,0,0,1396
31,953283,0,0,0,4,19,41,33,21,14,3,0,0,1396
32,953092,0,0,1,5,43,51,13,6,4,1,27,50,1396
33,953751,0,0,1,16,25,44,18,14,5,3,15,53,1396
34,954112,0,1,2,10,47,40,12,5,4,0,10,15,1396
35,954117,0,0,2,11,38,54,15,6,5,1,0,0,1396
36,954116,0,2,5,15,43,50,6,3,4,3,20,64,1396
37,953821,0,0,3,5,33,56,17,11,5,2,21,50,1396
38,954105,0,1,2,11,30,47,25,4,4,5,21,0,1396
39,953019,12,8,18,23,33,14,10,2,2,1,12,47,1396
40,953780,0,2,5,27,54,24,3,3,1,1,0,0,1396
41,954186,0,0,6,7,57,41,7,2,2,0,65,0,1396
42,954119,0,2,3,13,41,47,17,4,2,3,0,0,1396
43,954063,0,1,4,13,48,43,14,3,3,1,19,0,1396
44,954121,0,0,2,7,37,42,23,11,5,3,20,35,1396
45,954066,1,2,7,29,45,32,11,1,2,1,1,38,1396
46,954125,0,2,8,24,53,28,6,1,1,2,14,15,1396
47,954067,0,0,1,3,13,50,31,21,9,7,0,0,1396
48,953582,0,0,4,10,28,52,16,7,5,2,0,0,1396
49,954013,0,0,1,5,18,39,31,22,9,7,2,14,1396
50,954069,1,1,5,23,57,22,11,1,0,1,2,12,1396
51,954071,0,0,6,12,46,45,13,2,1,0,17,0,1396
52,954225,0,0,1,16,51,43,8,6,2,1,20,0,1396
53,954124,0,0,3,6,28,57,25,7,4,3,15,22,1396
54,954218,0,0,7,12,40,46,10,3,4,2,15,19,1396
55,953577,0,0,2,15,43,44,14,5,1,1,10,0,1396
56,953985,1,2,3,12,36,55,14,8,2,1,7,15,1396
57,954141,0,1,4,12,36,44,19,4,3,1,0,0,1396
58,954118,0,1,1,3,30,53,24,11,8,1,14,27,1396
59,953901,0,1,3,9,33,41,27,8,1,4,3,28,1396
60,953794,0,0,5,30,48,30,9,1,2,1,15,65,1396
61,953853,1,0,6,13,52,37,11,1,2,0,0,0,1396
62,953757,0,2,3,15,24,44,26,11,5,0,26,0,1396
63,954130,1,0,6,23,33,29,16,7,6,1,14,0,1396
64,953994,0,0,4,19,61,29,9,1,1,1,21,0,1396
65,954180,0,0,3,14,35,51,10,3,1,1,7,28,1396
66,954014,0,3,7,26,57,19,2,1,1,3,21,38,1396
67,954092,0,0,3,1,26,42,30,18,6,4,0,0,1396
68,954226,9,11,24,28,28,11,5,5,0,0,51,65,1396
69,953946,0,0,4,4,34,56,14,8,5,0,0,0,1396
70,953334,0,2,5,14,63,34,7,0,1,0,61,0,1396
71,953126,0,3,4,9,45,46,14,6,2,0,0,0,1396
72,953245,1,3,13,31,54,18,2,0,1,1,10,39,1396
73,954122,0,0,8,21,51,33,10,3,2,0,0,0,1396
74,954227,0,0,2,13,39,46,14,7,4,1,0,0,1396
75,953097,0,0,0,3,10,24,33,32,15,14,5,19,1396
76,953965,0,1,3,26,51,33,5,3,4,0,38,0,1396
77,954002,0,1,3,5,16,45,32,20,4,3,14,38,1396
78,953327,0,1,3,17,48,42,9,3,2,1,20,62,1396
79,954052,0,0,1,8,34,48,24,8,2,4,22,65,1396
80,954224,0,2,0,8,27,47,26,11,6,3,0,0,1396
81,953863,0,0,2,11,29,44,24,13,5,2,19,0,1396
82,953918,0,0,2,15,60,35,8,3,0,2,15,0,1396
83,953933,0,0,9,19,63,25,9,2,1,1,15,19,1396
84,953630,0,1,6,13,52,45,4,2,1,0,20,61,1396
85,953004,0,4,9,34,54,18,2,2,1,0,15,28,1396
86,953935,0,3,0,14,44,37,20,4,6,0,24,39,1396
87,954219,0,1,4,6,42,47,12,6,3,1,9,18,1396
88,953977,0,1,2,14,50,43,11,3,1,2,10,21,1396
89,954048,0,2,9,23,40,33,10,3,5,0,0,0,1396
90,954183,0,0,2,22,49,37,8,2,2,1,15,57,1396
91,953715,3,4,10,37,46,25,5,2,1,0,1,51,1396
92,953955,0,0,5,15,37,49,15,1,1,1,15,19,1396
93,953785,0,0,1,6,20,32,38,15,7,10,5,0,1396
94,954012,0,2,5,15,52,33,14,4,2,1,0,0,1396
95,953856,5,9,10,21,44,24,12,3,3,1,0,0,1396
96,954127,0,0,3,3,33,44,30,10,6,3,0,0,1396
97,954206,0,0,8,17,53,31,7,4,1,1,5,0,1396
98,954055,0,0,4,15,39,37,18,6,2,2,14,0,1396
99,953981,3,6,20,32,31,18,7,5,1,3,1,21,1396
100,954007,0,0,3,5,40,49,18,7,6,1,17,0,1396
101,954216,0,1,2,10,50,43,17,4,2,3,20,21,1396
102,953824,0,1,0,5,22,42,29,12,5,7,0,0,1396
103,954176,1,1,7,17,33,46,13,5,2,1,0,0,1396
104,953123,0,0,3,16,21,30,24,14,11,5,0,0,1396
105,954133,1,0,9,22,51,32,5,0,0,0,21,0,1396
106,953934,2,4,9,26,33,23,14,6,2,2,21,51,1396
107,953560,0,1,4,15,54,42,6,1,1,1,0,0,1396
108,953979,0,0,0,3,21,34,30,20,9,10,2,40,1396
109,954179,0,1,2,10,42,53,16,1,4,0,16,21,1396
110,954126,0,0,5,9,46,50,11,3,2,2,22,38,1396
111,953802,0,1,2,8,30,48,25,7,3,3,19,0,1396
112,954217,0,2,2,15,37,42,15,7,3,3,0,0,1396
113,954131,0,1,6,19,46,38,10,0,3,0,8,14,1396
114,953356,0,2,4,16,43,40,16,2,1,2,15,53,1396
115,954169,1,1,2,3,19,55,27,10,7,8,28,0,1396
116,954200,0,0,8,29,61,19,6,1,1,0,0,0,1396
117,954220,0,1,9,22,48,36,7,1,1,0,14,0,1396
