index,image_id,max_rating,mean_score,std_score,count_rating_1,count_rating_2,count_rating_3,count_rating_4,count_rating_5,count_rating_6,count_rating_7,count_rating_8,count_rating_9,count_rating_10,tag_1,tag_2,challange_id
1,953619,4,5.637,4.071,0,1,5,17,38,36,15,6,5,1,1,22,1396
2,953958,3,4.698,5.781,10,7,15,26,26,21,10,8,1,2,1,21,1396
3,954184,5,5.675,2.825,0,0,4,8,41,56,10,3,4,0,0,0,1396
4,954113,4,5.773,3.695,0,1,4,6,48,37,23,5,2,2,15,21,1396
5,953980,4,5.209,3.339,0,3,6,15,57,39,6,1,1,1,22,38,1396
6,954175,5,5.6,3.176,0,0,5,13,40,53,14,1,3,1,15,65,1396
7,953349,5,6.102,3.684,1,1,1,7,27,46,28,13,4,0,16,21,1396
8,953645,5,6.008,2.747,0,0,0,8,33,51,27,3,3,2,0,0,1396
9,953897,5,6.523,3.163,0,0,0,5,19,46,29,22,5,2,7,14,1396
10,953841,5,5.984,3.469,0,0,3,8,37,44,22,9,4,2,14,53,1396
11,953417,5,6.113,2.777,0,0,0,5,32,50,23,10,3,1,22,0,1396
12,953777,5,6.594,4.294,0,3,2,3,13,40,35,21,8,3,20,53,1396
13,953756,5,5.797,3.76,0,2,3,9,35,50,20,5,2,2,0,0,1396
14,954195,4,5.041,3.026,0,1,7,26,56,23,6,1,0,2,0,0,1396
15,953903,5,5.944,3.731,0,1,4,5,33,50,17,9,3,2,21,28,1396
16,954222,5,6.579,4.261,0,1,2,4,18,41,29,17,10,4,9,24,1396
17,953889,5,6.554,4.125,0,1,0,9,20,40,29,14,11,6,0,0,1396
18,953844,5,5.914,2.664,0,0,1,6,40,51,20,6,4,0,15,19,1396
19,954104,5,5.959,2.924,0,0,2,7,35,47,19,8,5,0,0,0,1396
20,954229,4,5.653,3.174,0,0,2,10,50,42,12,4,3,1,0,0,1396
21,953550,5,6.746,3.559,0,0,1,3,13,45,36,20,5,7,14,0,1396
22,953726,4,5.598,3.348,0,0,3,11,51,41,8,3,1,4,0,0,1396
23,954228,4,4.822,5.412,5,9,17,17,43,18,12,1,5,2,0,0,1396
24,953750,4,4.832,3.068,0,1,12,34,52,16,7,2,1,0,15,19,1396
25,954181,5,6.333,3.495,0,0,0,8,29,43,25,13,7,4,15,57,1396
26,954208,5,5.569,4.321,0,1,9,22,31,36,19,7,3,2,10,62,1396
27,953810,5,5.695,3.698,0,0,4,15,42,44,12,3,5,3,21,57,1396
28,954187,4,5.361,2.726,0,0,3,21,46,38,10,3,1,0,38,0,1396
