epoch,loss,lr,mean_absolute_error,val_loss,val_mean_absolute_error
0,2.200989007949829,0.001,1.259617805480957,0.043881408870220184,0.20767875015735626
1,0.3607659935951233,0.001,0.4848029315471649,0.08974231034517288,0.2986678183078766
2,0.3208172917366028,0.001,0.44306132197380066,0.043113674968481064,0.20627258718013763
3,0.3080490827560425,0.001,0.430595725774765,0.042350925505161285,0.2046034187078476
4,0.2793363034725189,0.001,0.406644344329834,0.031222378835082054,0.17546088993549347
5,0.27158546447753906,0.001,0.40401431918144226,0.021464364603161812,0.1451188325881958
6,0.2275427281856537,0.001,0.3700259029865265,0.017748450860381126,0.13187851011753082
7,0.20963235199451447,0.001,0.3572128117084503,0.010122325271368027,0.09933331608772278
8,0.18764761090278625,0.001,0.34241431951522827,0.005934018641710281,0.07537961006164551
9,0.14501309394836426,0.001,0.3038378953933716,0.003242247737944126,0.055355511605739594
10,0.12157118320465088,0.001,0.2827319800853729,0.002259105211123824,0.04588976874947548
11,0.09376227855682373,0.001,0.24833792448043823,0.002127573825418949,0.044550005346536636
12,0.07677168399095535,0.001,0.22324226796627045,0.0014056344516575336,0.03618062287569046
13,0.06361382454633713,0.001,0.20050138235092163,0.0008324487716890872,0.02740451507270336
14,0.0516061969101429,0.001,0.18050824105739594,0.0019225513096898794,0.042811229825019836
15,0.045185938477516174,0.001,0.16988714039325714,0.0008469176827929914,0.0279119573533535
16,0.04194233566522598,0.000100000005,0.16091099381446838,0.0009709139703772962,0.02968159131705761
17,0.03941076621413231,0.000100000005,0.1587754637002945,0.0008840630180202425,0.028674941509962082
18,0.04210859537124634,1.0000001e-05,0.16324996948242188,0.0008292929269373417,0.027781205251812935
19,0.0385744571685791,1.0000001e-05,0.1579115241765976,0.0008547451579943299,0.02783634513616562
